gsm	title	series_id	source_name_ch1	characteristics_ch1	treatment_protocol_ch1	extract_protocol_ch1	description	supplementary_file	relevant	tissue	cell_type	disease
GSM1075838	PB_1	GSE43976	Peripheral blood	"gender: female;	slide: 6929689021;	array: R01C01"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_1		1	Whole blood		Healthy
GSM1075839	PB_2	GSE43976	Peripheral blood	"gender: female;	slide: 6929689021;	array: R02C01"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_2		1	Whole blood		Healthy
GSM1075840	PB_3_r	GSE43976	Peripheral blood	"gender: female;	slide: 6929689021;	array: R03C01"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_3		1	Whole blood		Healthy
GSM1075841	Monocytes_1	GSE43976	CD14+ monocytes	"gender: female;	slide: 6929689021;	array: R04C01"	Monocytes were purified with MACS CD14 Microbeads from Miltenyi.	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_4		1		CD14+ Monocytes	Healthy
GSM1075842	Monocytes_11	GSE43976	CD14+ monocytes	"gender: female;	slide: 6929689021;	array: R05C01"	Monocytes were purified with MACS CD14 Microbeads from Miltenyi.	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_5		1		CD14+ Monocytes	Healthy
GSM1075843	PB_23	GSE43976	Peripheral blood	"gender: female;	slide: 6929689021;	array: R06C01"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_6		1	Whole blood		Healthy
GSM1075844	PB_30	GSE43976	Peripheral blood	"gender: female;	slide: 6929689021;	array: R01C02"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_7		1	Whole blood		Healthy
GSM1075845	Monocytes_21	GSE43976	CD14+ monocytes	"gender: male;	slide: 6929689021;	array: R02C02"	Monocytes were purified with MACS CD14 Microbeads from Miltenyi.	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_8		1		CD14+ Monocytes	Healthy
GSM1075846	PB_26	GSE43976	Peripheral blood	"gender: female;	slide: 6929689021;	array: R03C02"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_9		1	Whole blood		Healthy
GSM1075847	PB_39	GSE43976	Peripheral blood	"gender: female;	slide: 6929689021;	array: R04C02"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_10		1	Whole blood		Healthy
GSM1075848	Monocytes_9	GSE43976	CD14+ monocytes	"gender: male;	slide: 6929689021;	array: R05C02"	Monocytes were purified with MACS CD14 Microbeads from Miltenyi.	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_11		1		CD14+ Monocytes	Healthy
GSM1075849	Monocytes_39_r2	GSE43976	CD14+ monocytes	"gender: female;	slide: 6929689021;	array: R06C02"	Monocytes were purified with MACS CD14 Microbeads from Miltenyi.	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_12		1		CD14+ Monocytes	Healthy
GSM1075850	Monocytes_33	GSE43976	CD14+ monocytes	"gender: male;	slide: 6929689030;	array: R01C01"	Monocytes were purified with MACS CD14 Microbeads from Miltenyi.	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_13		1		CD14+ Monocytes	Healthy
GSM1075851	PB_13_r	GSE43976	Peripheral blood	"gender: female;	slide: 6929689030;	array: R02C01"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_14		1	Whole blood		Healthy
GSM1075852	PB_4	GSE43976	Peripheral blood	"gender: female;	slide: 6929689030;	array: R03C01"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_15		1	Whole blood		Healthy
GSM1075853	PB_6	GSE43976	Peripheral blood	"gender: female;	slide: 6929689030;	array: R04C01"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_16		1	Whole blood		Healthy
GSM1075854	Monocytes_2	GSE43976	CD14+ monocytes	"gender: male;	slide: 6929689030;	array: R05C01"	Monocytes were purified with MACS CD14 Microbeads from Miltenyi.	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_17		1		CD14+ Monocytes	Healthy
GSM1075855	Monocytes_12	GSE43976	CD14+ monocytes	"gender: female;	slide: 6929689030;	array: R06C01"	Monocytes were purified with MACS CD14 Microbeads from Miltenyi.	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_18		1		CD14+ Monocytes	Healthy
GSM1075856	PB_27	GSE43976	Peripheral blood	"gender: female;	slide: 6929689030;	array: R01C02"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_19		1	Whole blood		Healthy
GSM1075857	PB_36	GSE43976	Peripheral blood	"gender: female;	slide: 6929689030;	array: R02C02"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_20		1	Whole blood		Healthy
GSM1075858	Monocytes_22	GSE43976	CD14+ monocytes	"gender: female;	slide: 6929689030;	array: R03C02"	Monocytes were purified with MACS CD14 Microbeads from Miltenyi.	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_21		1		CD14+ Monocytes	Healthy
GSM1075859	PB_31	GSE43976	Peripheral blood	"gender: female;	slide: 6929689030;	array: R04C02"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_22		1	Whole blood		Healthy
GSM1075860	Monocytes_39	GSE43976	CD14+ monocytes	"gender: female;	slide: 6929689030;	array: R05C02"	Monocytes were purified with MACS CD14 Microbeads from Miltenyi.	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_23		1		CD14+ Monocytes	Healthy
GSM1075861	Monocytes_10	GSE43976	CD14+ monocytes	"gender: female;	slide: 6929689030;	array: R06C02"	Monocytes were purified with MACS CD14 Microbeads from Miltenyi.	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_24		1		CD14+ Monocytes	Healthy
GSM1075862	PB_13	GSE43976	Peripheral blood	"gender: female;	slide: 6929689032;	array: R01C01"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_25		1	Whole blood		Healthy
GSM1075863	PB_41	GSE43976	Peripheral blood	"gender: female;	slide: 6929689032;	array: R02C01"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_26		1	Whole blood		Healthy
GSM1075864	PB_15	GSE43976	Peripheral blood	"gender: female;	slide: 6929689032;	array: R03C01"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_27		1	Whole blood		Healthy
GSM1075865	PB_5	GSE43976	Peripheral blood	"gender: female;	slide: 6929689032;	array: R04C01"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_28		1	Whole blood		Healthy
GSM1075866	PB_9_r	GSE43976	Peripheral blood	"gender: female;	slide: 6929689032;	array: R05C01"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_29		1	Whole blood		Healthy
GSM1075867	Monocytes_3	GSE43976	CD14+ monocytes	"gender: female;	slide: 6929689032;	array: R06C01"	Monocytes were purified with MACS CD14 Microbeads from Miltenyi.	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_30		1		CD14+ Monocytes	Healthy
GSM1075868	Monocytes_13	GSE43976	CD14+ monocytes	"gender: female;	slide: 6929689032;	array: R01C02"	Monocytes were purified with MACS CD14 Microbeads from Miltenyi.	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_31		1		CD14+ Monocytes	Healthy
GSM1075869	PB_28	GSE43976	Peripheral blood	"gender: female;	slide: 6929689032;	array: R02C02"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_32		1	Whole blood		Healthy
GSM1075870	Monocytes_23	GSE43976	CD14+ monocytes	"gender: male;	slide: 6929689032;	array: R04C02"	Monocytes were purified with MACS CD14 Microbeads from Miltenyi.	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_34		1		CD14+ Monocytes	Healthy
GSM1075871	PB_35	GSE43976	Peripheral blood	"gender: female;	slide: 6929689032;	array: R05C02"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_35		1	Whole blood		Healthy
GSM1075872	PB_45	GSE43976	Peripheral blood	"gender: female;	slide: 6929689032;	array: R06C02"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_36		1	Whole blood		Healthy
GSM1075873	Monocytes_36	GSE43976	CD14+ monocytes	"gender: female;	slide: 6929689045;	array: R01C01"	Monocytes were purified with MACS CD14 Microbeads from Miltenyi.	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_37		1		CD14+ Monocytes	Healthy
GSM1075874	PB_47	GSE43976	Peripheral blood	"gender: female;	slide: 6929689045;	array: R02C01"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_38		1	Whole blood		Healthy
GSM1075875	PB_9	GSE43976	Peripheral blood	"gender: female;	slide: 6929689045;	array: R03C01"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_39		1	Whole blood		Healthy
GSM1075876	PB_16	GSE43976	Peripheral blood	"gender: female;	slide: 6929689045;	array: R04C01"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_40		1	Whole blood		Healthy
GSM1075877	PB_7	GSE43976	Peripheral blood	"gender: female;	slide: 6929689045;	array: R05C01"	NA	"DNA was extracted with the Sigma Gene Elute Mammalian Genomic DNA miniprep Kit, according to standard instructions."	SAMPLE_41		1	Whole blood		Healthy
